48231	AKCABUGDAY	39078	AKCA-BUGDAY  Akçabu?day  WW-196	
16588	AKMEE	10219	FRA051:4039	
27334	AKMOLINKA	35868	CI 14149	AKMOLINKA
48116	AKRATOS	24574	STRU 9814361  WW-038	
48122	AKTEUR	32909	LEU 80407/14  WW-039	
25184	ALABAMA BLUESTEM	8463	PURPLESTRAW	ALABAMA BLUESTEM
21870	ALBA	838	FRA051:1539	
25349	ALBAN	8843	FRA051:1540	
21872	ALBATROS	842	FRA051:1541	ALBATROS
26879	ALBATROS ODESSKYI	29639	ALBATROS  ALBATROS-ODESKII  ALBATROS-ODESSKII	ALBATROS ODESSKYI
16652	ALBERT BUSSER	10703	ALBERT BUSSER  FRA051:4244	
16457	ALBIAS	9130	FRA051:3867	
21873	ALBIDUM	843	FRA051:6356	ALBIDUM
26338	ALBIDUM 12	24108	WW-470	24108 ALBIDUM 12
21876	ALBINONI	848	FRA051:4749	ALBINONI
27683	AL'BORUBRUM B-21	36248	K 35739  NSGC 41  PI 572621	AL'BORUBRUM B-21
26117	ALCAZAR	23864	44597 at  WW-040	23864-2011 23864-2012 23864-2013 ALCAZAR
26920	ALCHEMY	29921	NSL ww60  WW-048	29921-2011 29921-2012 29921-2013 ALCHEMY
21879	ALCY-CAMBIER	854	ALCY  FRA051:1542  H-84	ALCY-CAMBIER
63267	Aldebaran	Aldebaran	WB-020	
26913	ALDRIC	29853	FD 02113  WW-041	29853-2011 29853-2012 29853-2013 ALDRIC
21880	ALEPH	856	FRA051:1543	ALEPH
16839	ALEPH	12702	FRA051:4329	
25506	ALERT	13059	FRA051:4943	ALERT
21881	ALEX	859	FRA051:1544  NGB 9047	ALEX
27103	ALEZAN	33885	FRA051:9037	
21882	ALF?LD	860	FRA051:1547	ALF?LD
48095	ALGER 48	10599	WB-385	
21883	ALGOT	861	FRA051:6807	ALGOT
21884	ALI BATAILLE	862	ALI  BATAILLE  FRA051:1548	ALI BATAILLE
27368	ALI BEN MAKHLOUL	35902	AUS 7214  CI 6558  CItr 6558  PI 48592	ALI BEN MAKHLOUL
27275	ALIGATOR	35589	UN 3139-13	35589-2011 35589-2012 35589-2013 ALIGATOR
63398	Aliso	BCC806	WB-160	
26400	ALIXAN	24559	NSA 00-0351	24559-2011 24559-2012 24559-2013 ALIXAN
25702	ALKA	13872	FRA051:9038	ALKA
27643	ALKAMA	36208	PI 490396	ALKAMA
27644	ALKAMU TIRE	36209	PI 490403	ALKAMU TIRE
21885	ALLEGRO	864	3491  BENOIST 3491  FRA051:1550	ALLEGRO
27750	ALLEZ Y	36692	NSA 05-0078	36692-2011 36692-2012 36692-2013 ALLEZ Y
16634	ALLIER 63	10602	FRA051:4211	
21886	ALLIES	868	BLE DES ALLIES  ERGE 1551  FRA051:1551  HYBRIDE DES ALLIES  PI 340711	ALLIES
27358	ALLORCA	35892	AUS 13183  CI 4578  CItr 4578  PI 41032	ALLORCA
16610	ALLYS	10377	FRA051:4068	
21887	ALMA	871	FRA051:1552	871 ALMA
24865	ALMANSOR	7931	FRA051:6789	ALMANSOR
21889	ALMUS	874	FRA051:1553  HADMERSLEBENER 21687/64	ALMUS
16874	ALPRIS	13568	FRA051:6203	
27430	ALS	35964	K 34768  NGB 4770  PI 162588	ALS
16635	ALSACE	10605	FRA051:4212	
21891	ALSACE	878	BLE ROUGE D'ALSACE  COLMAR 22  FRA051:1554  ROUFFACH	ALSACE
16817	ALSACE 104	12495	FRA051:4459	
16816	ALSACE 121	12494	FRA051:4458	
21892	ALSACE 22	879	BLE DE ROUFFACH  COLMAR 22  DE ROUFFACH  FRA051:1555  ROUGE D'ALSACE 22  ROUGE DE ROUFFACH	ALSACE 22
24878	ALSACE 226	7957	FRA051:1556	
24879	ALSACE 232	7958	FRA051:1557	
16818	ALSACE 75	12496	FRA051:4460	
27080	ALTAMIRA	33835	02b154  WW-022	33835-2011 33835-2012 33835-2013 ALTAMIRA
21893	ALTER DE GEMBLOUX	883	FRA051:1558	ALTER DE GEMBLOUX
16458	ALTERNA	9133	FRA051:3869	
21894	ALTERNA-TOURNEUR	884	291-12  ALTERNA  FRA051:1559	ALTERNA-TOURNEUR
26906	ALTIGO	29843	NSA 02-6324  WW-276	29843-2011 29843-2012 29843-2013 Altigo ALTIGO
21895	ALTO	886	268-5  FRA051:1560	ALTO
25535	ALVEOR	13213	FRA051:4944	
21896	ALVINA	889	FRA051:1561  IC 801	
27276	AMADOR	35590	UN 121-11	35590-2011 35590-2012 35590-2013 AMADOR
21897	AMADOR	892	FRA051:4751	AMADOR
16544	AMANDE	9896	FRA051:4513	
24864	AMAZONAS	7930	FRA051:1562	AMAZONAS
27579	AMAZONAS	36144	AUS 15522  K 49384  PI 343736	AMAZONAS
27127	AMBASSADOR	33963	FRA051:6452	AMBASSADOR
21898	AMBIORIX	895	FRA051:778	AMBIORIX
16636	AMBRE	10606	FRA051:4213	
27326	AMERICANO	35860	AUS 7245  CI 6868	AMERICANO
24880	AMERIQUE A EPI VELU	7959	FRA051:1563	
21899	AMI	897	RU307  WW-058	AMI
25472	AMIDONNIER BARBU	9062	FRA051:2277	
21900	AMIFORT	901	FRA051:1564  WW-319	901 AMIFORT
21901	AMIGO	902	FRA051:1565	AMIGO
63284	Amillis	Amillis	WB-037	
16611	AMINA	10378	FRA051:4597	
27574	AMINTAS	36139	K 53549  PI 338525	AMINTAS
25908	ANDALOU	20411	MH 97-09	20411-2011 20411-2012 20411-2013 ANDALOU
21902	ANDERSON	911	AUS 1785  CI 12536  K 44416	ANDERSON
21903	ANDES-56	912	AUS 1792  WW-284	912 ANDES-56
27114	ANDIFEN	33898	FRA051:34	ANDIFEN
21906	ANJA	918	FRA051:6460	ANJA
21907	ANNA MIGLIORI	920	TRI 7720  WW-133	ANNA MIGLIORI
63553	Anni	Anni	WB-315	
21908	ANNIE	921	FRA051:1566	ANNIE
21909	ANOUK	923	FRA051:784	ANOUK
27128	ANOUSKA	33965	FRA051:37	ANOUSKA
16459	ANTARES	9134	FRA051:3870	
26812	ANTONIUS	28888	SZD 2337B	28888-2011 28888-2012 28888-2013 ANTONIUS
21911	ANVIL	926	FRA051:785	ANVIL
